,ID,concept:name,Status
0,0,"['helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  departs  base', 'ems  assessment', 'Task', 'road  ambulance  arrives  hospital']",Anomalous
1,1,['road  ambulance  arrives  hospital'],Normal
2,2,"['helicopter  arrives at  hospital', 'Task', 'call', 'helicopter  arrives at  hospital']",Anomalous
3,3,"['Task', 'helicopter  arrives at  hospital']",Normal
4,4,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Anomalous
5,5,"['road  ambulance  arrives  hospital', 'call', 'road  ambulance  arrives  hospital', 'call', 'helicopter  arrives at  hospital']",Anomalous
6,6,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task']",Normal
7,7,"['helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital']",Normal
8,8,"['Task', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Anomalous
9,9,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Normal
10,10,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Normal
11,11,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
12,12,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital', 'Task']",Anomalous
13,13,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital']",Normal
14,14,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ems  assessment', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
15,15,"['Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
16,16,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Normal
17,17,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Normal
18,18,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
19,19,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
20,20,"['road  ambulance  arrives  hospital', 'ed  assessment']",Normal
21,21,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task']",Normal
22,22,"['helicopter  departs  base', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital']",Anomalous
23,23,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'Task', 'Task', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital']",Anomalous
24,24,"['helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
25,25,"['Task', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'helicopter  arrives  scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
26,26,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Normal
27,27,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Normal
28,28,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ems  assessment']",Anomalous
29,29,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
30,30,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
31,31,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment']",Normal
32,32,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Normal
33,33,"['road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Normal
34,34,"['road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Normal
35,35,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task']",Normal
